year,efficiency_multiplier,gas_fraction,hybrid_fraction,replacement_rate,repair_rate,avg_efficiency
2025,1.0,1.0,0.0,0.08305084745762711,0.30338983050847457,0.8203389830508465
2026,0.960413180068551,0.985593,0.008644,0.288135593220339,0.6271186440677966,0.8541521504237306
2027,0.9378596897097832,0.97557,0.014658,0.2033898305084746,0.423728813559322,0.8746926561101022
2028,0.9310016160114777,0.971023,0.017386,0.09322033898305085,0.3305084745762712,0.8811359389098344
2029,0.9297396845086648,0.967731,0.019361,0.06779661016949153,0.288135593220339,0.8823319007667907
2030,0.929841147364273,0.965681,0.020591,0.0423728813559322,0.2796610169491525,0.8822356220481087
2031,0.9289481554602167,0.964044,0.021573,0.03389830508474576,0.2711864406779661,0.8830837094933858
2032,0.9303337713508409,0.962819,0.022309,0.025423728813559324,0.2457627118644068,0.88176846666516
2033,0.9290674663446026,0.960371,0.023777,0.05084745762711865,0.2033898305084746,0.8829703038450522
2034,0.931793193112407,0.959557,0.024266,0.01694915254237288,0.1864406779661017,0.880387396167515
2035,0.9346388883592922,0.959151,0.02451,0.00847457627118644,0.17796610169491525,0.8777068804518792
